ID,f1_comunicazione,f2_costo,W1_semiasse_maggiore_km,W1_eccentricita,W1_inclinazione_deg,W1_arg_perigeo_deg,W1_qualita_eta,W2_semiasse_maggiore_km,W2_eccentricita,W2_inclinazione_deg,W2_arg_perigeo_deg,W2_qualita_eta,W1_sat_per_piano,W1_num_piani,W1_phasing,W1_tot_satelliti,W2_sat_per_piano,W2_num_piani,W2_phasing,W2_tot_satelliti,rover_indices,satelliti_totali
688,0.9772997838239607,0.016774256087597618,11234.714542378617,0.012390845728315747,13.475129782932788,228.22864306448608,206.6297619498113,22005.92498646167,0.04993241416132106,148.753161382152,216.9776829139876,2.0322927634392727,4,2,5,8,6,2,7,12,"[66, 63, 70, 98]",20
689,0.9773835591765063,0.005412103676282036,11234.714542355416,0.012946303241186195,13.475122155477814,228.18882196210606,39.14125047880751,22005.92498518878,0.04558848908133385,148.75392039683274,217.17440941547892,19.00669698314529,4,2,5,8,6,2,5,12,"[66, 63, 70, 98]",20
690,0.9776686089199215,0.009096322781288559,11409.664245795808,0.013067542051637047,13.475872718186519,282.2025996589407,61.44923645945286,19133.144509802692,0.0743928481722128,144.94879575069973,136.04265864573688,34.83653220443608,4,2,5,8,6,2,5,12,"[66, 63, 68, 98]",20
691,0.9778914067774698,0.005409578258232839,11234.714542374708,0.013451196928497274,13.476150305841578,228.21093820440697,42.76262173327714,22005.925012123047,0.04431124821589573,148.73987950071506,216.97020949160316,16.571404329755563,4,2,5,8,6,2,3,12,"[66, 63, 70, 98]",20
692,0.9786024364211987,0.005302895048052392,11234.714542355416,0.012946303241186195,13.475121768814084,228.20169828150694,37.75917740329829,22005.92498518878,0.04559092118497328,148.72069907569772,216.9847325585165,19.018007131571068,4,2,7,8,6,2,5,12,"[66, 63, 70, 98]",20
693,0.9792860061392955,0.005243043502382277,11234.714542375079,0.013075019972448094,13.475121474531122,228.20159970369588,37.62622949716803,22005.92498303021,0.045583138343317904,148.7546064542725,216.97222326231878,18.607876188406955,4,2,5,8,6,2,5,12,"[66, 63, 70, 98]",20
694,0.980374149955909,0.005150279061054699,11234.714542379092,0.013280017083250434,13.476572773606792,228.23902839317296,37.31655683699302,22005.924996804595,0.04500354155371762,148.75341122061522,217.14732400677877,18.041287617460476,4,2,7,8,6,2,5,12,"[66, 63, 70, 98]",20
695,0.9806561681377128,0.005126779215325277,11234.714542374619,0.013280017083250432,13.476572773606792,228.23902839317296,37.31655683699302,22005.924997755195,0.04500354155371762,148.75341122061522,217.14732400677877,17.8454555697153,4,2,7,8,6,2,5,12,"[66, 63, 70, 98]",20
696,0.9811456611184516,0.005084861254538861,11234.714542379092,0.012992595290834526,13.475155669571501,228.2085495770454,37.04992764503689,22005.925000435607,0.045708467357392486,148.7537034782085,216.95684437319537,17.673892024465918,4,2,7,8,6,2,5,12,"[66, 63, 70, 98]",20
697,0.9814121108223429,0.005063811585234718,11234.714542379073,0.013532430956145326,13.475155669571501,228.20854957704543,36.91072234883436,22005.925000435607,0.0423635891511757,148.75367807385967,217.243329604926,17.591281644399743,4,2,5,8,6,2,5,12,"[66, 63, 70, 98]",20
698,0.9820355432628364,0.0050090845548544415,11234.714542379068,0.013042513043784733,13.475118130037226,228.18899542659258,35.61252065262232,22005.924986510043,0.04539527080557873,148.75247537281382,217.17616573206774,18.000690855372127,4,2,5,8,6,2,3,12,"[66, 63, 70, 98]",20
699,0.7242422588352122,0.9821251318423954,9811.254257238126,0.012384355012286137,31.652107769994046,186.14235800606562,992.6659681022569,17156.250477140322,0.08656684360375265,28.707012788541768,245.83231624219312,991.6910846437823,4,9,3,36,9,7,3,63,"[66, 0, 13, 98]",99
700,0.9821613168290374,0.009480854096938558,11234.714542379092,0.013851579895665,13.475601278103102,229.1696729241252,3.193267074703698,19162.178717301827,0.04628601853215927,148.74078598794642,140.19142421777275,76.87827275801885,4,2,5,8,6,2,3,12,"[66, 63, 70, 98]",20
701,0.9821613168290374,0.009480854096938558,11234.714542379092,0.013851579895665,13.475601278103102,229.1696729241252,3.193267074703698,19162.178717301827,0.04628601853215927,148.74078598794642,140.19142421777275,76.87827275801885,4,2,5,8,6,2,3,12,"[66, 63, 70, 98]",20
702,0.9826797644667165,0.008654979458573906,11190.717603090308,0.007863386499114576,1.429423010584023,228.4308476867173,61.67252106231227,19181.152849465754,0.07690439981135896,148.38663274913114,136.04446739062908,31.009814779907703,4,2,3,8,6,2,5,12,"[66, 63, 70, 98]",20
703,0.9827102668272955,0.004969698387363779,11234.714542379092,0.01320047734100303,13.47506062195657,228.2931843112991,37.90344591142765,22005.92500590981,0.045244464905850476,148.74003993138783,216.99104742035237,16.14518928707972,4,2,3,8,6,2,3,12,"[66, 63, 70, 98]",20
704,0.9827292733658701,0.01221186262010365,11232.21981491883,0.013066544909039194,13.475161234086734,228.22226618655455,16.93813947518879,17263.296924322985,0.04644648194307287,29.433358933701264,217.76105861454502,82.0043591131435,7,2,5,14,6,2,3,12,"[66, 54, 70, 98]",26
705,0.9830601932113886,0.007316563612839294,11234.714542379088,0.013190263455944583,13.475115531477835,228.18705120540093,11.890336218112637,22005.924987187685,0.044956096471374066,148.7402962418558,217.1319243100101,53.044472628252365,4,2,5,8,6,2,3,12,"[66, 63, 70, 98]",20
706,0.9830601932113886,0.007316563612839294,11234.714542379088,0.013190263455944583,13.475115531477835,228.18705120540093,11.890336218112637,22005.924987187685,0.044956096471374066,148.7402962418558,217.1319243100101,53.044472628252365,4,2,5,8,6,2,3,12,"[66, 63, 70, 98]",20
707,0.7237472679702244,0.9831511560116034,9811.254257238126,0.017727883641523813,31.652107769994046,186.14235800606562,992.7460107211216,17156.250477140336,0.08656845430433693,28.707012788541768,245.83727126633553,993.2739557968249,4,9,3,36,9,7,3,63,"[66, 0, 13, 98]",99
708,0.9832057053571435,0.004914384834289413,11234.714542378902,0.013123529637030885,13.475138585142831,228.2082087633361,34.30116909307999,22005.92500029458,0.04543406893004502,148.75164498527866,217.24696214368635,18.085760890358443,4,2,7,8,6,2,5,12,"[66, 63, 70, 98]",20
709,0.9841031053305942,0.004842696231150055,11234.714542378977,0.01386071546322002,13.475138585142831,228.19007802175148,33.72227574494003,22005.925018170998,0.04546848965718707,148.73375651782632,217.1438978631097,17.874284762957114,4,2,7,8,6,2,5,12,"[66, 63, 70, 98]",20
